ID,SMILES,parent_name
150,S1C=C2C=CN=CC2=C1,"thieno[3,4-c]pyridine"
151,S1N=C2C=CC=CC2=N1,"2,1,3-Benzothiadiazole"
152,S1N=NC2=C1C=CC=C2,"Benzo[d][1,2,3]thiadiazole"
153,S1C=NC2=NC=CC=C12,"Thiazolo[4,5-b]pyridine"
154,S1C=NC2=CC=CN=C12,"Thiazolo[5,4-b]pyridine"
155,S1N=CC2=CN=CC=C12,"[1,2]thiazolo[4,5-c]pyridine"
156,S1N=CC2=NC=CC=C12,"[1,2]thiazolo[4,5-b]pyridine"
157,S1C=C2C=CN=CC2=N1,"6,8-Dichloro-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline-4-carboxylic acid"
158,S1C=NC2=C1C=CN=C2,"Thiazolo[4,5-c]pyridine"
159,S1C=CC2=C1N=CC=N2,"Thieno[2,3-b]pyrazine"
160,S1C=CC2=C1C=NC=N2,"thieno[3,2-d]pyrimidine"
161,S1C=NC2=C1C=NC=C2,"Thiazolo[5,4-c]pyridine"
162,S1C=C2N=CC=NC2=C1,"Thieno[3,4-b]pyrazine"
163,S1N=CC2=C1N=CC=C2,"Isothiazolo[5,4-b]pyridine"
164,S1C=CC2=C1C=CN=N2,"thieno[3,2-c]pyridazine"
165,S1C=CC2=CN=NC=C12,"thieno[2,3-d]pyridazine"
166,S1C=C2C=NC=NC2=C1,"thieno[3,4-d]pyrimidine"
167,S1C=C2C=NN=CC2=C1,"THIENO[3,4-D]PYRIDAZINE"
168,S1N=CC2=C1C=NC=C2,"ISOTHIAZOLO[5,4-C]PYRIDINE"
169,S1C=CC2=C1N=CN=C2,"Thieno[2,3-d]pyrimidine"
170,S1C=CC2=C1N=NC=C2,"thieno[2,3-c]pyridazine"
171,S1N=C2C=CN=CC2=N1,"[1,2,5]Thiadiazolo[3,4-c]pyridine"
172,S1N=C2C=CC=NC2=N1,"[1,2,5]thiadiazolo[3,4-b]pyridine"
173,S1N=NC2=CC=NC=C12,"[1,2,3]Thiadiazolo[5,4-c]pyridine(9CI)"
174,S1N=NC2=NC=CC=C12,"[1,2,3]thiadiazolo[4,5-b]pyridine"
175,S1N=NC2=CC=CN=C12,"[1,2,3]THIADIAZOLO[5,4-B]PYRIDINE"
176,S1C=NC2=NC=CN=C12,"[1,3]thiazolo[4,5-b]pyrazine"
177,S1C=NC2=CN=CN=C12,"Thiazolo[5,4-d]pyrimidine"
178,S1C=C2N=CN=CC2=N1,"[1,2]thiazolo[4,3-d]pyrimidine"
179,S1N=CC2=CN=CN=C12,"[1,2]thiazolo[5,4-d]pyrimidine"
180,S1C=NC2=CN=NC=C12,"THIAZOLO[4,5-D]PYRIDAZINE, SureCN209182, AGN-PC-0211EJ, CTK4F9584, AKOS006373189, AG-E-87256, 273-76-7"
181,S1C=NC2=NC=NC=C12,"[1,3]thiazolo[4,5-d]pyrimidine"
182,S1N=CC2=NC=CN=C12,"[1,2]thiazolo[5,4-b]pyrazine"
183,S1C=C2C=NC=NC2=N1,N-Cyclohexyl-N-ethylpiperidin-3-amine dihydrochloride
184,S1N=CC2=NC=NC=C12,2-(3-Bromophenyl)-2-(piperidin-1-yl)acetic acid
185,S1N=C2C=NN=CC2=N1,"[1,2,5]thiadiazolo[3,4-d]pyridazine"
186,S1N=C2N=CC=NC2=N1,"[1,2,5]thiadiazolo[3,4-b]pyrazine"
187,S1N=C2C=NC=NC2=N1,"[1,2,5]thiadiazolo[3,4-d]pyrimidine"
188,S1N=NC2=CN=CN=C12,"[1,2,3]thiadiazolo[5,4-d]pyrimidine"
189,S1N=NC2=NC=NC=C12,"[1,2,3]thiadiazolo[4,5-d]pyrimidine"
190,N1C=NC2=C1N=CN=[SH]2,"5H-1lambda4-imidazo[4,5-e][1,2,4]thiadiazine"
191,C1=CC2=CC=CC=C2C=C1,Naphthalene
192,C1=CC2=CC=NC=C2C=C1,Isoquinoline
193,C1=CC2=CC=CN=C2C=C1,Quinoline
194,C1=CC2=CN=CC=C2C=N1,"2,6-naphthyridine"
195,C1=CC2=NC=CN=C2C=C1,Quinoxaline
196,C1=CC2=CN=CN=C2C=C1,Quinazoline
197,C1=CN=C2C=CN=CC2=C1,"1,6-Naphthyridine"
198,C1=CC2=CN=NC=C2C=C1,Phthalazine
199,C1=CC2=NC=CC=C2N=C1,"1,5-Naphthyridine"
200,C1=CC2=CC=NC=C2C=N1,"2,7-naphthyridine"
201,C1=CC2=CC=CN=C2N=C1,"1,8-Diazanaphthalene"
202,C1=CC2=CC=NN=C2C=C1,Cinnoline
203,C1=CC2=CC=NC=C2N=C1,"1,7-naphthyridine"
204,C1=CC2=NN=CC=C2C=N1,"1,2,6-TRIAZANAPHTHALENE"
205,C1=CC2=CN=NC=C2C=N1,"pyrido[3,4-d]pyridazine"
206,C1=CC2=NC=NC=C2C=N1,"pyrido[4,3-d]pyrimidine"
207,C1=CC2=NN=CC=C2N=C1,"pyrido[3,2-c]pyridazine"
208,C1=CC2=CN=CN=C2C=N1,"pyrido[3,4-d]pyrimidine"
209,C1=CC2=CC=NN=C2C=N1,"pyrido[3,4-c]pyridazine"
210,C1=NC2=CC=NC=C2N=C1,"pyrido[3,4-b]pyrazine"
211,C1=CC2=NC=CN=C2N=C1,"Pyrido[2,3-b]pyrazine"
212,C1=CC2=CN=CN=C2N=C1,"pyrido[2,3-d]pyrimidine"
213,C1=CC2=NC=NC=C2N=C1,"pyrido[3,2-d]pyrimidine"
214,C1=CC2=CN=NN=C2C=C1,"1,2,3-benzotriazine"
215,C1=CC2=CN=NC=C2N=C1,"pyrido[2,3-d]pyridazine"
216,C1=CC2=NC=NN=C2C=C1,"1,2,4-triazanaphthalene"
217,C1=CC2=CC=NN=C2N=C1,"pyrido[2,3-c]pyridazine"
218,C1=CC2=C(N=C1)N=CN=N2,"Pyrido[2,3-e][1,2,4]triazine"
219,C1=CN=C2N=CN=CC2=N1,Pteridine
220,C1=CC2=CN=CN=C2N=N1,"pyridazino[3,4-d]pyrimidine"
221,C1=NC2=CN=NC=C2C=N1,"pyrimido[4,5-d]pyridazine"
222,C1=CC2=NC=NC=C2N=N1,"pyridazino[4,3-d]pyrimidine"
223,C1=NC2=CN=CN=C2C=N1,"pyrimido[5,4-d]pyrimidine"
224,C1=CN=C2N=CC=NC2=N1,"pyrazino[2,3-b][1,4]diazine"
225,C1=NC2=NC=NC=C2C=N1,"pyrimido[4,5-d]pyrimidine"
226,C1=CC2=NN=CN=C2C=N1,"pyrido[3,4-e][1,2,4]triazine"
227,C1=CC2=NC=NN=C2C=N1,"pyrido[4,3-e][1,2,4]triazine"
228,C1=CN=C2C=NN=CC2=N1,"pyrazino[2,3-d]pyridazine"
229,C1=NN=CC2=CN=NC=C12,"[1,2]diazino[4,5-d]pyridazine"
230,C1=CC2=NC=NN=C2N=C1,"pyrido[3,2-e][1,2,4]triazine"
231,C1=CN=C2C=NN=NC2=C1,"pyrido[3,2-d][1,2,3]triazine"
232,C1=CN=C2N=NN=CC2=C1,"pyrido[2,3-d][1,2,3]triazine"
233,C1=NC=C2N=NN=CC2=C1,"1,2,3,7-TETRAAZANAPHTHALENE"
234,C1=NC=C2C=NN=NC2=C1,"pyrido[4,3-d]triazine"
235,C1=NC2=NN=NC=C2C=N1,"pyrimido[4,5-d][1,2,3]triazine"
236,C1=NC2=CN=NN=C2C=N1,"pyrimido[5,4-d][1,2,3]triazine"
237,C1=NC2=NN=CN=C2C=N1,"pyrimido[5,4-e][1,2,4]triazine"
238,C1=NC2=NC=NN=C2C=N1,"pyrimido[4,5-e][1,2,4]triazine"
239,C1=NC=C2N=NN=NC2=N1,"CTK2F8301, AG-G-23384, Pyrimido[4,5-e]-1,2,3,4-tetrazine (9CI), Pyrimido[4,5-e]-v-tetrazine (7CI,8CI)"
